date,open,high,low,close,volume
2020-01-02,150679.5207338656,152344.48433237098,146517.10405298925,149847.03125,734725
2020-01-03,151095.77080876785,151928.24495279006,147349.58336837572,147765.828125,588468
2020-01-06,144852.1146798392,146100.84881593505,143603.39591296806,144019.640625,679507
2020-01-07,145268.36477698985,149014.5519549244,144852.12004952767,148182.0625,540411
2020-01-08,145684.6041039031,146517.093527967,141938.43243406495,144019.640625,1052913
2020-01-09,148182.05189534728,149430.77061914402,145684.5990785296,147349.5625,613892
2020-01-10,148598.31763824855,148598.31763824855,145684.61971110496,147765.828125,509403
2020-01-13,149014.551891939,150679.51543185877,148598.30716465274,149430.78125,535402
2020-01-14,149430.78131316134,151095.76022301012,147349.5730450756,148182.0625,598150
2020-01-15,148182.0465479583,148598.2912306111,146517.08318657082,146933.3125,346842
2020-01-16,146517.09394451155,155258.1714451344,144852.11509165028,150263.265625,1503808
2020-01-17,150263.25451849352,150679.49920094266,144852.10438510167,145684.59375,966614
2020-01-20,144852.12510675794,145684.61459074708,143187.16150800543,143603.40625,671731
2020-01-21,144852.12510675794,146100.85933274165,143603.40625,143603.40625,488009
2020-01-22,143603.38577722502,146933.3125,143603.38577722502,146933.3125,449610
2020-01-23,147765.80717117176,147765.80717117176,144852.10965720305,146100.84375,412704
2020-01-28,141938.421875,144435.8745921768,141522.17719393328,141938.421875,801030
2020-01-29,143603.40635769442,144019.65110000115,141522.19801538653,142354.6875,579078
2020-01-30,143187.166836389,144019.65635135735,137776.03109677383,139024.75,746809
2020-01-31,139857.23433314604,142770.91678912827,137359.78125,137359.78125,694702
2020-02-03,134862.31286008153,139440.97376463702,133197.34945003153,138608.484375,806565
2020-02-04,139440.96875,141105.93210017384,137359.76071997682,139440.96875,843848
2020-02-05,140689.68699384097,141105.9316724285,136111.04163704836,136943.515625,773824
2020-02-06,138192.2707117479,144852.12510675794,137776.02596975333,143603.40625,982429
2020-02-07,144435.8850953417,144852.1144374525,141522.18748521837,142770.90625,508936
2020-02-10,142354.6771460969,146100.84881593505,141105.94301000106,144019.640625,586222
2020-02-11,144852.1199830459,146933.32825017645,143603.40117045768,144435.890625,512094
2020-02-12,144852.109375,145684.59876857608,143187.14595707195,144852.109375,385513
2020-02-13,146100.8440534432,150679.5049980933,146100.8440534432,148598.296875,1435703
2020-02-14,148182.06262730644,151511.98971141435,147765.81789948666,150679.515625,762751
2020-02-17,151928.23967409192,156090.65635726016,151928.23967409192,154841.9375,943199
2020-02-18,155674.3956278509,155674.3956278509,151928.22407156412,153593.1875,650334
2020-02-19,154841.9215552465,155674.39558462115,149847.0159021017,151095.75,873010
2020-02-20,151512.0003030549,151928.2450599728,146933.33871541038,149014.5625,889968
2020-02-21,146933.31780232638,150679.50471216493,146517.08847387688,147349.5625,530261
2020-02-24,143603.40083996725,145268.36437599486,140689.703125,140689.703125,908230
2020-02-25,140689.7084252638,144019.65099199457,140273.47905249498,143603.40625,672223
2020-02-26,141522.187722033,147349.56758280622,140689.6982979691,144019.640625,907364
2020-02-27,144435.8745921768,145684.59326615345,140689.68783179982,141938.421875,778477
2020-02-28,139857.22402370904,142770.90626491205,139024.73460095123,141522.1875,967774
2020-03-02,141938.42234640478,145684.59375,140273.45898583176,145684.59375,777636
2020-03-03,148598.3124154833,149014.5571574779,143187.16150800543,143603.40625,774846
2020-03-04,142770.92182869813,145684.6197567547,142354.69244116975,145268.375,504561
2020-03-05,147349.56798185725,151511.984375,145268.3597852859,151511.984375,1073435
2020-03-06,151095.77080876785,152344.48970941434,147349.58336837572,147765.828125,835172
2020-03-09,147765.828125,147765.828125,147765.828125,147765.828125,0
2020-03-10,143187.15663191935,150679.515625,140689.7036342258,150679.515625,1422588
2020-03-11,149847.00983604437,151511.9731966174,144019.63038942698,145684.59375,965198
2020-03-12,145684.59375,145684.59375,145684.59375,145684.59375,0
2020-03-13,137359.7611217131,144852.10390402,130283.64765124937,141938.421875,2633115
2020-03-16,146517.10968998345,148182.07335254547,137776.03125,137776.03125,1245706
2020-03-17,131532.38631323172,142354.6715548753,131532.38631323172,139857.21875,1654417
2020-03-18,139857.22873169862,142354.6817148187,130699.90625,130699.90625,1435326
2020-03-19,136111.05016902403,136943.5242091584,115298.95325807403,116547.6796875,3414993
2020-03-20,121126.34664648918,127369.97141549982,117380.17485892783,126953.734375,2385780
2020-03-23,121126.33423157116,153593.18123963958,120710.089549122,145684.59375,7899823
2020-03-24,148598.30747862734,158588.10410847887,147349.5732941301,153176.96875,4612473
2020-03-25,159004.3541401109,159420.59888216015,147765.82295090967,152344.484375,2758419
2020-03-26,151511.9793300752,159004.3378097924,148598.2971734276,151095.75,2884273
2020-03-27,156923.14056504116,158171.85938031314,148598.30747862734,153176.96875,2277517
2020-03-30,151511.98458677856,155258.17164122307,151095.75524226227,154009.4375,1108019
2020-03-31,156090.65201848408,193552.41649491742,154425.68846534213,190638.71875,13153129
2020-04-01,194801.140625,196466.1042235054,164831.734375,164831.734375,6153799
2020-04-02,154841.9373740804,165247.97907353862,151511.99480871827,162334.28125,10237794
2020-04-03,159420.59380433042,180648.92128042504,159420.59380433042,163166.765625,4905688
2020-04-06,168577.89629007943,176902.74452605145,166912.932790575,173989.046875,3283546
2020-04-07,173572.79688064297,178567.7025965199,168994.13586929318,174821.515625,2607476
2020-04-08,174821.51561355052,176486.49443155006,172324.078125,172324.078125,1288023
2020-04-09,176070.2550592111,180232.67149181693,173572.80212580264,175237.765625,1593748
2020-04-10,178151.45274404436,178983.94212904264,168994.13098595905,174405.28125,2058239
2020-04-13,174821.51098516962,187725.00426770104,173156.54758047423,179400.171875,4295580
2020-04-14,183146.36415188396,183562.59348842307,176486.4949673405,179816.421875,1505291
2020-04-16,178567.69281826616,181065.1455394457,177735.20345479844,178983.9375,915966
2020-04-17,179400.18745316853,180232.67691241723,171075.35433758277,175654.015625,2110847
2020-04-20,175237.75033265568,179816.41108280444,173156.54229797202,176486.484375,1079194
2020-04-21,177318.95836733934,181481.37443670665,172324.06830563268,176486.484375,2116776
2020-04-22,173156.5475427772,181065.15060950065,173156.5475427772,178151.453125,1327942
2020-04-23,179400.1718359437,180232.66122272218,176902.7344140563,178151.453125,750234
2020-04-24,177735.22922411005,180648.92704947197,175237.77614083208,176070.265625,1272135
2020-04-27,177735.20839237067,178983.9424722627,176070.24498840532,176902.734375,574580
2020-04-28,176902.74452605145,178151.46330837358,173156.55744063534,173989.046875,858637
2020-04-29,173989.0468429082,175654.01034210555,172324.08334371084,175237.765625,773309
2020-05-04,173156.56244955724,175654.01545567048,169410.390625,169410.390625,1016575
2020-05-06,170242.86997172498,173156.55216477538,166912.92770495033,172324.078125,713647
2020-05-07,171491.60422434125,172324.09370862477,169410.39588285825,169826.640625,475824
2020-05-08,171491.59390949973,178151.46327551402,170659.10447528862,175237.765625,1058358
2020-05-11,178983.95270972513,179400.18205760582,174821.52090789445,175237.765625,821241
2020-05-12,176486.50508424873,181065.16637166592,175237.77089537564,175654.015625,1161380
2020-05-13,175653.99541535275,178983.9375,174821.50605188505,178983.9375,901978
2020-05-14,178983.94284258978,180648.90625,176486.4900468624,180648.90625,1133509
2020-05-15,182313.89073260155,184395.0990747547,178983.96353284686,181065.171875,977788
2020-05-18,183146.3638837079,184811.32733509972,176486.49470891632,177318.96875,1168545
2020-05-19,177318.96875,178567.70286546217,173989.0418472164,177318.96875,837790
2020-05-20,178567.6828455474,182313.85403348727,177735.19352857288,181897.609375,782168
2020-05-21,181897.609375,183146.34335046177,179400.1567932992,181897.609375,626391
2020-05-22,183146.36415188396,183978.8381941866,177318.96900964316,179816.421875,753136
2020-05-25,179816.41149424415,179816.41149424415,177735.20345479844,178983.9375,438398
2020-05-26,179400.19286513663,180232.68234949905,177318.98452345634,178567.71875,570240
2020-05-27,176486.49470891632,178151.4581603081,175654.00529860822,177318.96875,699144
2020-05-28,176902.74981387306,177735.22390389643,171491.59906720713,175654.015625,846540
2020-05-29,176486.4999665621,178151.46346755425,174405.29174801576,177735.21875,780235
2020-06-01,178151.45441804035,193552.40060065556,177318.9650252196,189389.984375,4029425
2020-06-02,191471.1921643301,193552.4002736416,184811.3231406885,186892.53125,1318398
2020-06-03,192719.91120783478,195633.60871348332,186892.53156576183,189389.984375,2142771
2020-06-04,189390.00030348965,206455.9113378366,188973.75557207136,205623.421875,3588859
2020-06-05,203125.95906237737,216861.94232157402,202293.48500890235,213532.0,3425881
2020-06-08,216861.93720023078,218943.14533860615,210618.3127851047,213115.765625,1497060
2020-06-09,213948.24022926184,220191.8646610352,212283.27678796713,219359.390625,1589975
2020-06-10,219359.41144213907,224770.54698216796,217694.43247361406,223521.828125,1261531
2020-06-11,233095.36504578058,249328.80133863565,228516.70392136567,239755.234375,4649101
2020-06-12,233095.35589412268,252658.71839888944,232262.8818664199,247663.828125,4567655
2020-06-15,248080.07785175843,250577.5308786596,223521.82305388543,228100.484375,3712308
2020-06-16,235592.82833137244,247247.60401261767,235176.583598252,244333.90625,2411575
2020-06-17,244750.14044838733,248080.06743157058,233511.60998400048,241003.96875,1946113
2020-06-18,241836.43723946047,245166.37951514925,238090.265627382,239338.984375,926558
2020-06-19,240587.72924810642,243501.41157922233,233927.859768202,242668.9375,1285288
2020-06-22,242668.93261417458,249745.04667583434,241003.96912002662,247247.59375,1378092
2020-06-23,254323.69860283143,273887.06239831465,251826.26098572736,265146.0,5299683
2020-06-24,269308.4374553138,275552.06272186834,262648.55206125067,265562.25,2311391
2020-06-25,262648.52117144724,268892.14570369595,261816.03175279094,263064.78125,1085109
2020-06-26,266394.7185245544,267227.20797551837,255988.6772336304,260151.09375,1096312
2020-06-29,263481.02087363834,271389.6245518686,258902.375,258902.375,1563485
2020-06-30,259734.82798914422,261816.0362019272,248912.55757805266,254739.9375,1792589
2020-07-01,256404.88994661253,257237.37934353953,246415.09402960952,247663.828125,1195800
2020-07-02,248080.0632306326,259318.59350470846,248080.0632306326,256821.140625,1340468
2020-07-03,259318.60415678952,259734.833512818,250161.2816781095,257653.640625,899113
2020-07-06,256821.15615573685,260567.32801722942,253491.22902757136,254323.703125,897740
2020-07-07,254323.68774529154,263064.7805088835,252242.47957373856,256821.140625,1186118
2020-07-08,260151.08316709846,263064.78075771854,256821.14086792918,259318.59375,838654
2020-07-09,268475.9062881026,273054.55181120906,264313.49008947925,269724.625,1934839
2020-07-10,273470.86495758145,275968.30286615406,263481.05184638314,270140.9375,1231716
2020-07-13,271805.82322628575,274303.29129781097,267227.17786949314,273887.03125,915974
2020-07-14,272222.09316224285,275968.24929793505,268059.64622517145,269724.625,995844
2020-07-15,270557.1245410086,271805.8432997685,261399.80241268734,263064.78125,1149359
2020-07-16,260983.5625416272,267643.4161452475,258486.09438643363,262232.28125,867752
2020-07-17,264729.7297768756,274719.5413400046,262232.2922553179,273054.5625,1466422
2020-07-20,280130.6544404124,282628.1225040856,268475.8956919445,268892.125,1643787
2020-07-21,271805.8540189858,275552.04118145327,264729.73978901986,267643.4375,1439023
2020-07-22,268475.92695148726,268892.1563080057,262232.3021730085,267643.4375,884618
2020-07-23,267643.4269099508,271389.61392419,263897.2398957116,268059.65625,835820
2020-07-24,264313.53109437966,273054.59417217487,263897.270966871,265562.25,932617
2020-07-27,266394.7183512674,267227.20780168986,263481.02064401394,263897.25,599485
2020-07-28,269308.40577332326,269724.63511341304,263064.7812412815,264313.5,786993
2020-07-29,261816.0197302273,263897.22781207465,248080.05253772414,250993.75,2248991
2020-07-30,249328.80215882487,258902.36915395362,238922.76110057067,249745.046875,3218372
2020-07-31,249745.04132930117,254739.93170481452,246415.09904306775,246831.34375,973306
2020-08-03,244750.1613558397,250993.78650958015,236009.08306675786,248912.578125,1797802
2020-08-04,249328.80736985145,255572.43213529707,247247.5991147029,251410.015625,1053345
2020-08-05,253074.95949118616,262232.28125,252658.7147986539,262232.28125,1256249
2020-08-06,265978.45848863194,266394.7185834311,257653.64082327802,258902.375,983866
2020-08-07,258902.364397972,263897.2394234195,255988.6668074949,261816.03125,1138787
2020-08-10,267227.1868219392,269724.62423868483,260983.5625416272,262232.28125,1442974
2020-08-11,262648.53130694747,265145.99965929275,260151.09369305253,261399.8125,819297
2020-08-12,260151.0933704689,260983.5828202184,250577.5261752505,251410.015625,1325283
2020-08-13,251826.25023480758,266394.7074356784,250993.76081849658,256821.140625,2073433
2020-08-14,256404.90102670586,259734.8280198625,249745.0470403926,253491.21875,1226393
2020-08-18,255572.4374065338,263064.79650113516,250993.7760769261,253074.984375,1375069
2020-08-19,261399.8175672957,261816.0469315301,252242.49490808026,253074.984375,1040107
2020-08-20,252242.48984955036,263897.24993734685,250577.5263183259,253907.46875,2018550
2020-08-21,256404.89542021643,256821.1401275657,246415.0992899562,250577.515625,1225938
2020-08-24,253491.21394429362,258902.36441711918,250993.76106216063,258069.875,962015
2020-08-25,258486.09873280188,258902.3588015574,253491.20844609904,255156.171875,708995
2020-08-26,259734.82815578097,265978.4527981356,257237.390594219,258486.109375,1491267
2020-08-27,258486.10923973497,258902.3693254106,253074.97403354922,253491.21875,854105
2020-08-28,254739.93753012753,256404.90102670586,252658.72931709842,253491.21875,659245
2020-08-31,253907.46309581658,254323.69244243496,246831.34903415682,247247.59375,1275935
2020-09-01,247247.604027933,251410.0206209444,245582.62509534808,248080.078125,789994
2020-09-02,249328.79159713857,253074.9631455755,248080.05750151013,250161.265625,647090
2020-09-03,250161.27092048348,250993.76033519147,247663.83341480853,249328.796875,587722
2020-09-04,243085.14609479153,247247.56197992415,243085.14609479153,244750.109375,723413
2020-09-07,245582.62035542732,254739.94283099964,242252.69329297837,253907.46875,1201147
2020-09-08,252242.49996139258,268059.6771959383,247247.60916748506,264729.75,3188012
2020-09-09,261816.03582089112,268059.66045015334,248080.0677842042,248496.3125,2933186
2020-09-10,249328.80193159156,251826.25485714138,244750.14079628763,248496.3125,1473370
2020-09-11,248496.3125,255988.67127664952,246831.3490060417,248496.3125,1208454
2020-09-14,248912.54656872293,250577.50999146348,245166.37502525063,246415.09375,600347
2020-09-15,246831.3384479912,248912.54656872293,244750.13032725945,246415.09375,488090
2020-09-16,247247.59375,252242.48423244382,246415.10431831362,247247.59375,518548
2020-09-17,249328.80697990442,249328.80697990442,242252.69277577626,242668.9375,810461
2020-09-18,248912.56225568068,250577.52578335052,242668.9375,242668.9375,891730
2020-09-21,242668.9261003001,243917.64484508595,230597.90651098976,231846.640625,1269329
2020-09-22,230181.69246679303,235176.58314697744,219775.65100487706,223105.578125,1580886
2020-09-23,223938.04653994975,227267.97334706676,213531.99068695516,221440.59375,1538877
2020-09-24,216029.46342406323,220191.88000190968,207288.38553674053,208120.875,1561463
2020-09-25,210202.07844890453,220191.87493187044,209785.83372685907,215196.984375,1478535
2020-09-28,224354.28566464025,224354.28566464025,211867.0365386211,212283.28125,1226241
2020-09-29,213531.9949719032,215196.9737780968,208953.3493625436,214364.484375,811541
2020-10-05,215613.2187217257,216861.95291678453,208953.36449164688,211867.046875,755074
2020-10-06,212699.52618514068,215613.20842940893,211867.0367615071,214780.734375,657795
2020-10-07,215613.21892874222,217694.42721994643,213532.010637538,216861.953125,581987
2020-10-08,218943.17702351566,226019.29186571928,218110.6875,218110.6875,1033853
2020-10-12,221856.85435985986,228516.7084518914,219359.4013907355,227684.234375,915503
2020-10-13,229765.44246202114,229765.44246202114,223521.8177281446,225186.78125,639736
2020-10-14,223938.08342615663,224354.31281868793,217694.44273824216,218110.6875,691575
2020-10-15,217278.18704809752,218943.15052438847,211450.79182724218,212283.28125,740925
2020-10-16,211867.0365238253,218526.9057977487,211450.79181247548,213532.0,641752
2020-10-19,213532.00532423204,217694.42180306726,211867.04180654295,212699.53125,611779
2020-10-20,209785.82248905223,210618.31188854834,200212.2712409678,204374.6875,1436032
2020-10-21,203125.953125,205207.16125169076,200212.27096916747,203125.953125,739169
2020-10-22,201044.7551481281,204374.6975404812,196466.0939644082,197714.828125,982650
2020-10-23,198547.29182923932,201460.98934925962,194384.87558305272,198131.0625,854628
2020-10-26,202293.47874618662,207288.36902007603,196882.32840460952,198131.0625,1117082
2020-10-27,197714.82808389282,203958.45277787864,194801.13041234278,198963.546875,812891
2020-10-28,200628.51580593493,202293.49473135502,198963.55224974023,201877.25,503967
2020-10-29,199379.79721155108,213115.78114679147,198963.55247971494,210618.328125,1165195
2020-10-30,210618.3276916098,211034.57242258944,200628.515625,200628.515625,974924
2020-11-02,201877.23965413187,207288.37477675945,199796.03147324055,203542.203125,574626
2020-11-03,205623.42203434635,216029.46348174085,205207.1773026055,215613.21875,1200907
2020-11-04,218943.1565161235,225603.02597277012,216445.70354872788,225186.78125,1567576
2020-11-05,227267.98944535977,228100.47889071953,221856.85415819648,226435.5,1141097
2020-11-06,228516.71879285946,236425.32278117543,225186.79159615593,231014.171875,1405747
2020-11-09,235176.58853493578,239755.24995692226,234344.11442044555,237257.796875,1047236
2020-11-10,236009.03547794773,237673.9987760438,229765.41158317024,230181.65625,1235938
2020-11-11,230597.90776421418,250577.51537394113,229349.18901264196,246831.34375,3267724
2020-11-12,245582.6251610951,246831.35936086808,240587.73446967948,243085.1875,1211004
2020-11-13,241003.97377035022,245166.39027064893,236009.06782230173,241420.203125,983610
2020-11-16,242252.67686520482,245166.37437418124,239755.22405311422,240171.46875,697878
2020-11-17,238506.52598292663,243917.66140329628,235176.58348873912,238090.28125,1083856
2020-11-18,239338.9898631134,243917.65099141025,237257.7816565444,242252.6875,748962
2020-11-19,248912.52526013262,250577.4885403411,243501.37538792653,244750.109375,1191509
2020-11-20,244333.89087763106,247663.83316386447,243917.64617069883,246831.34375,631451
2020-11-23,249745.04157952595,253074.9684998712,248496.3074574781,250577.515625,1158570
2020-11-24,253907.4474622759,253907.4474622759,248080.05253772414,250993.75,999632
2020-11-25,253074.9896050354,313013.8021236372,252658.74486297343,274719.5625,12673442
2020-11-26,278881.9582106976,281379.3957368146,268892.14662933105,274303.3125,3283259
2020-11-27,274303.3432903215,279714.47902993666,273887.083163611,278049.5,1568382
2020-11-30,280963.16681233014,295947.8534681734,280546.93747017585,283044.375,3617961
2020-12-01,288039.2914068383,292617.9372929678,281379.4065179357,286374.3125,1468645
2020-12-02,287623.0316989613,289704.2399660918,283876.87526119663,288871.78125,1357085
2020-12-03,287206.7818672605,299277.8012515102,285541.8030768646,292201.6875,2013807
2020-12-04,296364.1254909681,320922.39539044414,295947.86539359106,316343.71875,5594228
2020-12-07,330079.7288402138,335907.09375,316343.7292034322,335907.09375,4094508
2020-12-08,329663.4216392976,335074.55640346586,288871.75014375226,291369.1875,5436340
2020-12-09,293034.18748131616,303440.2284510973,272222.1055417538,294282.90625,4252886
2020-12-10,286790.58308466396,306770.1770051801,286374.3229735054,299694.0625,2430105
2020-12-11,310932.5722342594,310932.5722342594,300110.3019060094,300526.53125,1318943
2020-12-14,305105.15532911604,308435.112798454,291369.18835266214,297612.8125,1980502
2020-12-15,299694.0625,301359.0414677312,284293.1146330672,299694.0625,2876075
2020-12-16,303023.9683692364,303856.4577945088,293450.4168247276,294282.90625,1495743
2020-12-17,290120.4688931388,296780.3223370668,288455.49016293325,292617.90625,1075939
2020-12-18,293866.6566352268,297612.8438131613,292201.7084638285,296364.125,1089250
2020-12-21,300526.5009337375,310100.0515258136,296780.314261929,305521.40625,2369921
2020-12-22,306353.9368527022,308851.37447796925,298861.5625,298861.5625,1605124
2020-12-23,303024.00039233157,304688.9794188287,294699.16673675145,295531.65625,1684099
2020-12-24,295947.821945801,298029.0606502407,285958.0421520995,289287.96875,2453226
2020-12-28,290952.9562860152,299694.0177142253,269724.61594280275,277633.21875,8620237
2020-12-29,306112.5,309933.59656720475,294649.179559937,306112.5,6631809
2020-12-30,307810.7596304008,309933.618530124,298045.737793168,304838.8125,2441709
2021-01-04,298470.25614690804,301017.6741801475,291252.62295014085,295073.75,2324297
2021-01-05,298470.23836849775,302291.3344523062,292950.8739431695,301017.65625,1454682
2021-01-06,303140.5087752421,305263.33669108036,300168.53125,300168.53125,1132362
2021-01-07,301442.2346240967,305263.330948412,298045.69772727275,303565.0625,1108059
2021-01-08,305263.3294158169,314179.2310406052,302291.3519614052,311631.84375,1992351
2021-01-11,320123.13714685955,328189.9194657306,311631.826165031,317575.75,3040529
2021-01-12,323095.1778682427,328614.5433854502,314179.2749960689,326067.125,2867216
2021-01-13,322670.63398414536,331161.9470436529,318424.9467159391,323944.3125,2413640
2021-01-14,310782.7276506738,317575.8021422361,298045.7283482196,299319.4375,3968140
2021-01-15,296347.4353431995,296771.9947793789,276392.8037198499,279364.78125,3936546
2021-01-18,278091.07038248127,293800.0460643035,266627.78125,266627.78125,3013191
2021-01-19,261532.9970623499,269175.1904376501,251767.97560929405,265354.09375,3822953
2021-01-20,267901.50280603004,275119.1364648531,261532.9880536809,264080.40625,1616450
2021-01-21,266627.7683901369,269599.7457574878,260259.28498095798,264929.5,1255612
2021-01-22,265354.10945338244,267901.5278882026,261533.01253960375,263231.28125,967538
2021-01-25,264504.96617045405,273420.86839642253,264080.4067164672,272571.71875,1090195
2021-01-26,278091.1254008672,284459.64111562126,272996.3497152079,273845.46875,1454992
2021-01-27,276817.3938944767,282761.3182163294,270024.3199618179,279364.78125,1174565
2021-01-28,271298.0328167133,287006.9780834166,268326.0552448489,284035.03125,1724755
2021-01-29,284035.0591014052,287856.1559322287,273845.44706024183,275119.15625,1247485
2021-02-01,283610.4524656846,325217.9864514559,282761.33354728785,315028.375,6971908
2021-02-02,314179.2192942285,314179.2192942285,299319.3940546352,301866.78125,2689314
2021-02-03,303565.0614749402,305263.3299176176,287006.9672126707,295073.75,2226969
2021-02-04,292950.9157176222,296772.0123463145,286582.43158261816,289978.96875,1273745
2021-02-05,295073.7745010728,301442.25863607693,284459.6035376168,289978.96875,2313796
2021-02-08,297196.56612915796,298470.2443570193,285308.6875,285308.6875,908826
2021-02-09,285308.69929475716,286582.4083137196,278515.65625,278515.65625,1140762
2021-02-10,277241.94117981684,281912.15625,275543.6727710831,281912.15625,851262
2021-02-15,288705.2367016898,291677.2141717581,282761.3125,282761.3125,1376414
2021-02-16,284459.5925917108,284884.15203668433,275543.69055502646,275968.25,958610
2021-02-17,275543.73153716704,279364.82858714386,267901.53743721335,272996.34375,1101891
2021-02-18,271722.62158287404,277241.9871416608,267052.375,267052.375,777379
2021-02-19,263655.8621079482,270448.9375,259834.76488453257,270448.9375,991101
2021-02-22,273420.8578718,273845.41730944463,261957.56862471084,262806.6875,839951
2021-02-23,264080.4049537285,265354.08330718736,251343.40625,251343.40625,1461801
2021-02-24,248371.4500673114,255589.0843141056,239455.5625,239455.5625,1731639
2021-02-25,246673.17255034889,262382.14968371013,243276.65066163364,261533.0,1596427
2021-02-26,254739.93744822423,258136.459291538,247946.87839237184,252617.109375,1230708
2021-03-02,256862.77395736036,260683.87053371375,244974.9094035807,247522.296875,1053185
2021-03-03,248371.44113414106,259834.73132376678,246248.61303292707,257287.34375,1017162
2021-03-04,257287.33481840102,263231.25944314996,252617.10393631985,260259.3125,894766
2021-03-05,258985.6029321421,260683.87149885885,254739.9315153502,256013.640625,544183
2021-03-08,258136.44914333205,258136.44914333205,246673.1595555117,247097.734375,690264
2021-03-09,244550.32506397646,247946.86205268343,238181.82589476285,244125.765625,988446
2021-03-10,247522.29017413815,251767.96146027328,241153.79092954745,242427.5,573290
2021-03-11,242427.51596111548,251767.97803635275,241578.38164798255,248796.015625,765282
2021-03-12,251343.396754772,255589.05258280665,248795.99403641702,252192.515625,482981
2021-03-15,251767.95213367327,252192.51156194723,245399.453125,245399.453125,549670
2021-03-16,246673.1630591221,253041.66248810725,245399.46932101485,251767.96875,475866
2021-03-17,251767.9810953499,253041.67489591226,247097.75000098767,249220.578125,417646
2021-03-18,250918.8215234112,254315.3584754375,247946.859375,247946.859375,465414
2021-03-19,244550.33741506253,246673.1654556065,241153.80025481246,243701.203125,531711
2021-03-22,246248.58735077133,250069.68368213062,242852.050447686,245399.453125,539505
2021-03-23,249645.14663747165,258136.45891808387,247097.74373175311,248371.4375,831924
2021-03-24,249645.1470493814,256438.20610661447,247946.87844276693,254739.9375,657094
