date,open,high,low,close,volume
2013-01-04,2289.510009765625,2296.113037109375,2256.56005859375,2276.991943359375,139400
2013-01-07,2271.6630859375,2293.31689453125,2266.862060546875,2285.364013671875,118200
2013-01-08,2284.654052734375,2289.138916015625,2262.97900390625,2276.070068359375,123000
2013-01-09,2271.299072265625,2283.89599609375,2259.051025390625,2275.340087890625,122000
2013-01-10,2274.376953125,2295.48388671875,2268.64794921875,2283.656982421875,120000
2013-01-11,2285.18505859375,2290.205078125,2234.947021484375,2242.9970703125,125000
2013-01-14,2236.2880859375,2317.616943359375,2235.10693359375,2311.739990234375,144800
2013-01-15,2312.468017578125,2332.782958984375,2309.322998046875,2325.681884765625,165600
2013-01-16,2322.157958984375,2326.763916015625,2279.507080078125,2309.4990234375,153600
2013-01-17,2305.139892578125,2305.60205078125,2275.876953125,2284.908935546875,119200
2013-01-18,2295.80908203125,2324.509033203125,2285.971923828125,2317.070068359375,125400
2013-01-21,2321.489990234375,2329.5810546875,2305.09912109375,2328.220947265625,134600
2013-01-22,2326.489990234375,2335.805908203125,2301.301025390625,2315.138916015625,149400
2013-01-23,2308.52099609375,2325.117919921875,2296.490966796875,2320.910888671875,118200
2013-01-24,2320.258056640625,2362.943115234375,2287.2958984375,2302.597900390625,161000
2013-01-25,2300.0009765625,2308.3798828125,2288.261962890625,2291.303955078125,92600
2013-01-28,2295.35205078125,2346.9208984375,2295.35205078125,2346.5048828125,128400
2013-01-29,2347.215087890625,2363.797119140625,2337.35302734375,2358.97705078125,141800
2013-01-30,2360.748046875,2383.762939453125,2347.889892578125,2382.47509765625,149800
2013-01-31,2383.426025390625,2391.821044921875,2371.22607421875,2385.422119140625,139800
2013-02-01,2377.4140625,2421.154052734375,2369.570068359375,2419.02001953125,140800
2013-02-04,2425.9208984375,2440.3759765625,2417.5849609375,2428.154052734375,167600
2013-02-05,2411.0009765625,2437.4150390625,2403.302001953125,2433.1298828125,150800
2013-02-06,2432.677001953125,2441.72607421875,2427.698974609375,2434.47705078125,116600
2013-02-07,2430.68798828125,2433.89306640625,2394.218017578125,2418.530029296875,120000
2013-02-08,2416.618896484375,2443.031982421875,2414.39697265625,2432.402099609375,109000
2013-02-18,2441.906005859375,2444.803955078125,2415.428955078125,2421.55810546875,116200
2013-02-19,2420.264892578125,2427.074951171875,2373.534912109375,2382.9140625,123400
2013-02-20,2383.492919921875,2397.94091796875,2370.60791015625,2397.177978515625,110200
2013-02-21,2378.822021484375,2378.822021484375,2309.1708984375,2325.950927734375,144000
2013-02-22,2322.93994140625,2330.87890625,2308.760009765625,2314.1640625,97000
2013-02-25,2320.617919921875,2338.780029296875,2315.011962890625,2325.819091796875,88400
2013-02-26,2313.739990234375,2340.7080078125,2289.885986328125,2293.341064453125,117600
2013-02-27,2297.76708984375,2324.626953125,2292.033935546875,2313.219970703125,97800
2013-02-28,2322.322998046875,2366.1640625,2308.916015625,2365.593017578125,127000
2013-03-01,2364.5439453125,2369.64892578125,2330.85791015625,2359.506103515625,120400
2013-03-04,2332.080078125,2333.5400390625,2259.2470703125,2273.404052734375,161800
2013-03-05,2274.80810546875,2328.14306640625,2270.10009765625,2326.305908203125,131200
2013-03-06,2333.614990234375,2351.44091796875,2321.60009765625,2347.178955078125,141400
2013-03-07,2340.43603515625,2352.02099609375,2304.27001953125,2324.29296875,139800
2013-03-08,2326.4169921875,2333.6669921875,2314.5869140625,2318.611083984375,98800
2013-03-11,2314.68310546875,2320.9599609375,2296.5830078125,2310.593017578125,84200
2013-03-12,2309.157958984375,2333.285888671875,2264.8291015625,2286.60498046875,117600
2013-03-13,2282.169921875,2286.3291015625,2253.2490234375,2263.968017578125,91000
2013-03-14,2255.77490234375,2276.220947265625,2253.31005859375,2270.277099609375,80200
2013-03-15,2269.31494140625,2312.077880859375,2250.0048828125,2278.40087890625,116400
2013-03-18,2267.287109375,2276.050048828125,2239.214111328125,2240.01611328125,93200
2013-03-19,2244.264892578125,2261.31396484375,2232.02294921875,2257.43408203125,87600
2013-03-20,2257.737060546875,2317.860107421875,2257.419921875,2317.375,131200
2013-03-21,2318.205078125,2330.81298828125,2311.60302734375,2324.241943359375,119200
2013-03-22,2321.403076171875,2331.9951171875,2314.967041015625,2328.278076171875,101200
2013-03-25,2334.735107421875,2344.89404296875,2319.907958984375,2326.715087890625,97000
2013-03-26,2318.577880859375,2319.988037109375,2281.117919921875,2297.6689453125,104400
2013-03-27,2299.376953125,2323.47705078125,2288.9951171875,2301.260009765625,96400
